year,make,model,class,pi,drive type,speed,handling,acceleration,launch,braking,average,country,car value,engine position,notes
1980,Abarth,131 Abarth ,E,204,RWD,"3,0","4,4","5,3","6,1","4,4","4,6",Italy,35.000 CR,Front,
2010,Abarth,500 esseesse,D,312,FWD,"3,8","4,0","5,7","6,1","3,9","4,7",Italy,20.000 CR,Front,
2008,Acura,#15 Lowe's Fernandez ARX-01b,R1,954,RWD,"8,1","9,8","9,7","8,5","9,8","9,2",United States,2.000.000 CR,Mid,
2008,Acura,#26 Andretti-Green Racing ARX-01b,R1,954,RWD,"8,1","9,8","9,7","8,5","9,8","9,2",United States,2.000.000 CR,Mid,
2008,Acura,#66 de Ferran Motorsports ARX-01b,R1,954,RWD,"8,1","9,8","9,7","8,5","9,8","9,2",United States,2.000.000 CR,Mid,
2009,Acura,#66 de Ferran Motorsports ARX-02a,R1,990,RWD,"9,2","10,0","9,5","8,2","10,0","9,4",United States,2.500.000 CR,Mid,
2009,Acura,#66 de Ferran Motorsports Jim Hall ARX-02a,R1,989,RWD,"9,2","10,0","9,5","8,2","10,0","9,4",United States,2.500.000 CR,Mid,
2001,Acura,Integra Type-R,C,388,FWD,"5,0","4,7","6,0","6,3","4,6","5,3",United States,12.000 CR,Front,
1997,Acura,NSX,B,471,RWD,"6,6","5,2","7,0","7,2","5,1","6,2",United States,38.000 CR,Mid,
2005,Acura,NSX,B,476,RWD,"7,0","5,2","7,0","7,1","5,1","6,3",United States,64.000 CR,Mid,
2002,Acura,RSX Type-S,D,342,FWD,"5,1","4,4","5,9","6,1","4,3","5,2",United States,10.000 CR,Front,
2010,Acura,TSX V6,C,375,FWD,"6,8","4,8","5,7","5,6","4,5","5,5",United States,21.000 CR,Front,
1992,Alfa Romeo,155 Q4 ,D,345,AWD,"4,7","4,4","5,8","6,5","4,3","5,1",Italy,7.000 CR,Front,February ALMS Pack
1968,Alfa Romeo,33 Stradale,A,509,RWD,"6,5","4,9","8,3","8,1","4,8","6,5",Italy,"3,000,000 CR",Mid,September Pennzoil Car Pack
2007,Alfa Romeo,8C Competizione,A,562,RWD,"7,9","5,4","7,8","7,6","5,3","6,8",Italy,280.000 CR,Front,
2009,Alfa Romeo,Brera Italia Independent,D,347,AWD,"4,7","4,7","5,3","5,8","4,6","5,0",Italy,32.000 CR,Front,
1965,Alfa Romeo,Giulia Sprint GTA Stradale,E,208,RWD,"3,0","3,7","6,1","6,4","3,7","4,6",Italy,60.000 CR,Front,
2011,Alfa Romeo,Giulietta Quadrifoglio Verde,C,409,FWD,"5,1","4,8","6,1","6,2","4,7","5,4",Italy,36.000 CR,Front,Pre-order Exclusive
1986,Alfa Romeo,GTV-6,F,185,RWD,"3,7","4,1","4,8","5,1","4,1","4,4",Italy,9.000 CR,Front,March Pirelli Car Pack
2008,Alfa Romeo,MiTo,D,292,FWD,"3,8","4,3","5,3","5,7","4,1","4,7",Italy,20.000 CR,Front,
1970,Alfa Romeo,Montreal,E,229,RWD,"4,0","4,0","5,4","6,0","4,0","4,7",Italy,27.000 CR,Front,January Jalopnik Pack
1986,Alfa Romeo,Spider Quadrifoglio Verde,F,145,RWD,"3,1","4,2","4,0","4,0","4,0","3,9",Italy,5.000 CR,Front,December IGN Pack
1973,AMC,Gremlin X,F,161,RWD,"3,0","3,7","4,9","5,7","3,8","4,2",United States,5.000 CR,Front,July Car Pack
1971,AMC,Javelin-AMX,D,355,RWD,"3,0","3,8","7,0","6,4","3,8","4,8",United States,20.000 CR,Front,
1977,AMC,Pacer X,F,104,RWD,"3,0","3,7","3,7","4,2","3,7","3,7",United States,5.000 CR,Front,May TopGear Car Pack
2012,Ascari,KZ1R,S,626,RWD,"8,8","6,0","8,4","7,9","5,9","7,4",United Kingdom,350.000 CR,Mid,July Car Pack
